id,name,category,price,stock,brand,rating,reviews,specs
39,Dr. Martens Boots,Footwear,149.99,25,Dr. Martens,4.4,125,"{""size"":""9"",""color"":""Black"",""material"":""Leather""}"
40,Ninja Air Fryer,Appliances,129.99,13,Ninja,4.5,190,"{""capacity"":""4 qt"",""temperature"":""400°F"",""digital"":true}"
41,Calvin Klein Underwear,Clothing,29.99,75,Calvin Klein,4.2,70,"{""size"":""M"",""color"":""Black"",""material"":""Cotton""}"
42,Ring Doorbell,Electronics,179.99,19,Ring,4.3,160,"{""resolution"":""1080p"",""night_vision"":true,""motion_detection"":true}"
43,Timberland Boots,Footwear,199.99,18,Timberland,4.5,135,"{""size"":""10"",""color"":""Brown"",""material"":""Leather""}"
44,Hamilton Beach Toaster,Appliances,39.99,28,Hamilton Beach,4.1,55,"{""slots"":4,""functions"":""Toast/Bagel"",""auto_shutoff"":true}"
45,Ralph Lauren Sweater,Clothing,129.99,15,Ralph Lauren,4.4,80,"{""size"":""L"",""color"":""Cream"",""material"":""Cashmere""}"
46,Apple Watch Series 9,Electronics,399.99,10,Apple,4.7,280,"{""display"":""Always-On"",""health"":""ECG"",""battery"":""18 hours""}"
47,ASICS Running Shoes,Footwear,119.99,32,ASICS,4.6,150,"{""size"":""9.5"",""color"":""Blue"",""material"":""Mesh""}"
48,Oster Blender,Appliances,79.99,17,Oster,4.2,95,"{""power"":""700W"",""capacity"":""6 cups"",""speeds"":3}"
49,Hugo Boss Suit,Clothing,599.99,5,Hugo Boss,4.8,40,"{""size"":""42R"",""color"":""Charcoal"",""material"":""Wool""}"
50,Eufy Robot Vacuum,Appliances,299.99,12,Eufy,4.4,175,"{""battery"":""100 minutes"",""app_control"":true,""mapping"":true}"
